from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,245998224599934+368392+1,245998224599934+368256+1,1,
33,33,,,245998224599934+368396+1,245998224599934+368258+1,1,
33,33,,,245998224599934+368400+1,245998224599934+368267+1,1,
33,33,,,245998224599924+368406+1,245998224599934+368271+1,1,
18,18,,,245998224599934+367112+0,245998224599934+368273+1,1,
33,33,,,245998224599934+368413+0,245998224599934+368274+0,1,
33,33,,,245998224599934+368418+0,245998224599934+368279+0,1,
33,33,,,245998224599934+368423+0,245998224599934+368283+0,1,
33,33,,,245998224599934+368428+0,245998224599934+368288+0,1,
20,20,,,245998224599934+367118+1,245998224599934+368294+1,1,
33,33,,,245998224599924+368432+0,245998224599934+368296+0,1,
18,18,,,245998224599934+367124+1,245998224599934+368299+1,1,
33,33,,,245998224599934+368438+0,245998224599934+368301+0,1,
18,18,,,245998224599934+367130+1,245998224599934+368305+1,1,
33,33,,,245998224599934+368442+0,245998224599934+368307+0,1,
33,33,,,245998224599934+368554+0,245998224599934+368310+0,1,
33,33,,,245998224599934+368621+0,245998224599934+368314+0,1,
18,18,,,245998224599934+367134+1,245998224599934+368316+1,1,
33,33,,,245998224599934+368674+0,245998224599934+368318+0,1,
33,33,,,245998224599934+368682+0,245998224599934+368319+0,1,
33,33,,,245998224599934+368723+0,245998224599934+368323+0,1,
18,18,,,245998224599934+367137+0,245998224599934+368325+0,1,
33,33,,,245998224599934+368834+0,245998224599934+368328+0,1,
33,33,,,245998224599934+368894+0,245998224599934+368349+0,1,
33,33,,,245998324600004+368209+0,245998224599934+368357+0,1,
33,33,,,245998224599934+368213+0,245998224599934+368361+1,1,
33,33,,,245998224599934+368217+1,245998224599934+368362+1,1,
33,33,,,245998224599934+368220+1,245998224599934+368366+1,1,
33,33,,,245998224599934+368224+1,245998224599934+368367+1,1,
33,33,,,245998224599934+368230+1,245998224599934+368371+1,1,
33,33,,,245998224599934+368236+0,245998224599934+368378+0,1,
33,33,,,245998224599934+368242+0,245998224599934+368380+0,1,
33,33,,,245998224599934+368246+0,245998224599934+368381+0,1,
33,33,,,245998224599934+368250+0,245998224599934+368382+0,1,
33,33,,,245998224599934+368254+0,245998224599934+368387+0,1,
33,33,,,245998224599934+368261+0,245998224599934+368394+0,1,
33,33,,,245998224599934+368265+0,245998224599934+368398+0,1,
33,33,,,245998224599934+368276+1,245998224599934+368415+1,1,
33,33,,,245998224599934+368281+1,245998224599934+368425+1,1,
33,33,,,245998224599934+368285+1,245998224599934+368425+1,1,
33,33,,,245998224599934+368290+1,245998224599934+368426+1,1,
33,33,,,245998224599934+368294+1,245998224599934+368426+1,1,
33,33,,,245998224599934+368299+1,245998224599934+368436+1,1,
33,33,,,245998224599934+368305+1,245998224599934+368440+1,1,
33,33,,,245998224599934+368312+1,245998224599934+368587+1,1,
33,33,,,245998224599934+368316+1,245998224599934+368661+1,1,
33,33,,,245998224599934+368321+1,245998224599934+368701+0,1,
33,33,,,245998224599934+368325+0,245998224599934+368756+0,1,
33,33,,,245998224599934+368330+0,245998224599934+368858+0,1,
33,33,,,245998224599924+368336+0,245998224599934+368882+0,1,
94,94,,,245998224599934+367405+1,245998224599934+368899+0,1,
94,94,,,245998224599924+367424+1,245998224599934+368900+0,1,
94,94,,,245998224599934+367435+0,245998224599934+368904+0,1,
94,94,,,245998224599934+367450+0,245998224599934+368906+0,1,
94,94,,,245998224599934+367547+0,245998224599934+368928+0,1,
76,76,,,245998224599924+367057+0,245998224599934+368979+0,1,
74,74,,,245998224599934+367070+1,245998224599934+369018+1,1,
94,94,,,245998224599934+368032+1,245998224599934+369250+0,1,
94,94,,,245998224599924+368116+1,245998224599934+369254+0,1,
